uniprot_id,cluster,gene
A0A0U1RRL7,1,MMP24OS
A0FGR8,1,ESYT2
A1L0T0,1,ILVBL
A1L4K1,1,FSD2
A2RTX5,1,TARS3
A3KMH1,2,VWA8
A5YM72,1,CARNS1
A6NCE7,1,MAP1LC3B2
A6NDG6,2,PGP
A6NNS2,2,DHRS7C
A8MU46,2,SMTNL1
A8MXV4,1,NUDT19
E9PAV3,2,NACA
L0R6Q1,1,SLC35A4
O00151,2,PDLIM1
O00159,1,MYO1C
O00168,1,FXYD1
O00186,1,STXBP3
O00217,2,NDUFS8
O00231,2,PSMD11
O00232,1,PSMD12
O00233,1,PSMD9
O00264,1,PGRMC1
O00299,1,CLIC1
O00303,1,EIF3F
O00330,2,PDHX
O00399,1,DCTN6
O00410,2,IPO5
O00418,1,EEF2K
O00423,1,EML1
O00429,1,DNM1L
O00442,1,RTCA
O00483,2,NDUFA4
O00487,1,PSMD14
O00499,2,BIN1
O00505,1,KPNA3
O00571,1,DDX3X
O00629,2,KPNA4
O00748,1,CES2
O00757,2,FBP2
O00764,1,PDXK
O14521,2,SDHD
O14548,1,COX7A2L
O14556,1,GAPDHS
O14558,2,HSPB6
O14561,2,NDUFAB1
O14732,2,IMPA2
O14737,1,PDCD5
O14744,1,PRMT5
O14818,2,PSMA7
O14841,1,OPLAH
O14880,2,MGST3
O14924,1,RGS12
O14929,1,HAT1
O14949,2,UQCRQ
O14950,1,MYL12B
O14957,2,UQCR11
O14958,2,CASQ2
O14964,1,HGS
O14979,1,HNRNPDL
O14980,1,XPO1
O14983,2,ATP2A1
O15056,2,SYNJ2
O15061,2,SYNM
O15143,1,ARPC1B
O15144,1,ARPC2
O15173,2,PGRMC2
O15212,1,PFDN6
O15239,1,NDUFA1
O15260,2,SURF4
O15264,1,MAPK13
O15273,1,TCAP
O15305,1,PMM2
O15371,1,EIF3D
O15372,1,EIF3H
O15382,1,BCAT2
O15400,1,STX7
O15427,1,SLC16A3
O15498,1,YKT6
O15511,1,ARPC5
O15533,1,TAPBP
O43143,1,DHX15
O43169,2,CYB5B
O43181,2,NDUFS4
O43237,1,DYNC1LI2
O43242,1,PSMD3
O43374,1,RASA4
O43390,1,HNRNPR
O43396,2,TXNL1
O43399,1,TPD52L2
O43414,1,ERI3
O43488,2,AKR7A2
O43561,2,LAT
O43583,1,DENR
O43598,2,DNPH1
