ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,contrast,direction
GO:0007018,microtubule-based movement,7/42,48/2061,0.14583333333333334,7.15625,6.223075571714019,3.450793109493235e-5,0.04803504008414583,0.04417015180151341,HSPB1/UCHL1/RAB6A/DYNLT1/DYNC1I2/DYNC1H1/DYNC1LI1,7,Training_Young,Up
GO:0030198,extracellular matrix organization,13/74,39/2061,0.3333333333333333,9.283783783783784,10.076762416629911,2.1840399068258927e-10,1.0461551153696026e-7,9.556132504603116e-8,COL1A1/COL3A1/COL4A1/COL1A2/CTSG/COL4A2/LAMC1/COL6A1/NID1/LAMB2/DPT/NID2/TGFBI,13,Training_Young,Down
GO:0043062,extracellular structure organization,13/74,39/2061,0.3333333333333333,9.283783783783784,10.076762416629911,2.1840399068258927e-10,1.0461551153696026e-7,9.556132504603116e-8,COL1A1/COL3A1/COL4A1/COL1A2/CTSG/COL4A2/LAMC1/COL6A1/NID1/LAMB2/DPT/NID2/TGFBI,13,Training_Young,Down
GO:0045229,external encapsulating structure organization,13/74,39/2061,0.3333333333333333,9.283783783783784,10.076762416629911,2.1840399068258927e-10,1.0461551153696026e-7,9.556132504603116e-8,COL1A1/COL3A1/COL4A1/COL1A2/CTSG/COL4A2/LAMC1/COL6A1/NID1/LAMB2/DPT/NID2/TGFBI,13,Training_Young,Down
GO:0071711,basement membrane organization,7/74,13/2061,0.5384615384615384,14.996881496881496,9.76761475416702,8.366708628043318e-8,3.005740074624562e-5,2.745601489255268e-5,COL3A1/COL4A1/LAMC1/COL6A1/NID1/LAMB2/NID2,7,Training_Young,Down
GO:0060415,muscle tissue morphogenesis,6/74,13/2061,0.46153846153846156,12.854469854469855,8.272549473191289,2.459717149849229e-6,7.069227088666684e-4,6.457404812341028e-4,COL3A1/MYL3/MYL2/TNNI1/TNNC1/MYLK,6,Training_Young,Down
GO:0048644,muscle organ morphogenesis,6/74,14/2061,0.42857142857142855,11.936293436293436,7.92183490880779,4.182585482075636e-6,0.0010017292229571148,9.150322975698804e-4,COL3A1/MYL3/MYL2/TNNI1/TNNC1/MYLK,6,Training_Young,Down
GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,4/74,5/2061,0.8,22.281081081081084,9.192162005523421,7.465885018145434e-6,0.0013410595963843737,0.001224994554950968,COL1A1/COL4A1/COL4A2/FLT1,4,Training_Young,Down
GO:0038065,collagen-activated signaling pathway,4/74,5/2061,0.8,22.281081081081084,9.192162005523421,7.465885018145434e-6,0.0013410595963843737,0.001224994554950968,COL1A1/COL4A1/COL4A2/FLT1,4,Training_Young,Down
GO:0030199,collagen fibril organization,5/74,12/2061,0.4166666666666667,11.60472972972973,7.108366065867718,3.3928473844606555e-5,0.005417246323855513,0.004948398465991155,COL1A1/COL3A1/COL1A2/COL6A1/DPT,5,Training_Young,Down
GO:0055010,ventricular cardiac muscle tissue morphogenesis,4/74,7/2061,0.5714285714285714,15.915057915057913,7.6264825506664184,4.94575824114389e-5,0.0071070545925237694,0.006491958449164664,MYL3/MYL2/TNNI1/TNNC1,4,Training_Young,Down
GO:0072359,circulatory system development,16/74,157/2061,0.10191082802547771,2.838354277844724,4.623768699550782,8.31698672900635e-5,0.01086500902689284,0.009924672201981741,COL1A1/COL3A1/COL4A1/COL1A2/COL4A2/MYL3/HMOX1/MYL2/COL6A1/FLT1/TNNI1/NDUFV2/FBN1/TNNC1/TGFBI/MYLK,16,Training_Young,Down
GO:0003208,cardiac ventricle morphogenesis,4/74,8/2061,0.5,13.925675675675675,7.067312739449297,9.622852935011756e-5,0.011523366389676578,0.010526050535052333,MYL3/MYL2/TNNI1/TNNC1,4,Training_Young,Down
GO:0048513,animal organ development,26/74,358/2061,0.07262569832402235,2.022723841159596,4.10717403636826,1.3920621556751152e-4,0.015387640905424157,0.014055882656897722,COL1A1/COL3A1/COL4A1/MT-ND4/COL1A2/MYL3/MYL2/MYH3/COL6A1/NID1/FLT1/TNNI1/NDUFV2/MAOB/FBN1/EMD/LAMB2/TNNC1/H3-3A/SLC20A2/TGFBI/SF1/MYLK/GNAS/SYNE2/TMX2,26,Training_Young,Down
GO:0003229,ventricular cardiac muscle tissue development,4/74,9/2061,0.4444444444444444,12.378378378378379,6.600297097413891,1.6851048767794964e-4,0.017296397913800974,0.015799441964992722,MYL3/MYL2/TNNI1/TNNC1,4,Training_Young,Down
GO:0071230,cellular response to amino acid stimulus,5/74,17/2061,0.29411764705882354,8.191573926868045,5.744582893953518,2.3016443107380332e-4,0.021813243824934977,0.01992536721217003,COL1A1/COL3A1/COL4A1/COL1A2/COL6A1,5,Training_Young,Down
GO:0009887,animal organ morphogenesis,10/74,76/2061,0.13157894736842105,3.664651493598862,4.566857845346852,2.723069021922922e-4,0.021813243824934977,0.01992536721217003,COL1A1/COL3A1/COL1A2/MYL3/MYL2/COL6A1/TNNI1/FBN1/TNNC1/MYLK,10,Training_Young,Down
GO:0031214,biomineral tissue development,4/74,10/2061,0.4,11.140540540540542,6.201957872986195,2.7323478695116885e-4,0.021813243824934977,0.01992536721217003,COL1A1/COL1A2/COL6A1/SLC20A2,4,Training_Young,Down
GO:1903053,regulation of extracellular matrix organization,4/74,10/2061,0.4,11.140540540540542,6.201957872986195,2.7323478695116885e-4,0.021813243824934977,0.01992536721217003,LAMC1/COL6A1/NID1/LAMB2,4,Training_Young,Down
GO:0071229,cellular response to acid chemical,5/74,18/2061,0.2777777777777778,7.736486486486487,5.53842206266634,3.098237378934677e-4,0.023291909753646745,0.021276058647619302,COL1A1/COL3A1/COL4A1/COL1A2/COL6A1,5,Training_Young,Down
GO:0061061,muscle structure development,15/74,158/2061,0.0949367088607595,2.644115634621964,4.149464420467104,3.2417410930614816e-4,0.023291909753646745,0.021276058647619302,COL3A1/MYL3/MYL2/LAMC1/MYH3/COL6A1/TNNT1/NID1/TNNI1/EMD/LAMB2/TNNC1/H3-3A/MYLK/XIRP1,15,Training_Young,Down
GO:0055008,cardiac muscle tissue morphogenesis,4/74,11/2061,0.36363636363636365,10.127764127764129,5.85644888898045,4.177349171038789e-4,0.028585003613251142,0.02611104970569108,MYL3/MYL2/TNNI1/TNNC1,4,Training_Young,Down
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",7/74,41/2061,0.17073170731707318,4.75510876730389,4.68585991448266,4.87797421045587e-4,0.03186204063829584,0.029104468136069234,NDUFS7/NDUFB6/NDUFA3/MT-ND4/NDUFB7/NDUFV2/NDUFA6,7,Training_Young,Down
GO:0060348,bone development,5/74,20/2061,0.25,6.962837837837838,5.170077230621369,5.298975112294892e-4,0.03310707494072939,0.030241748123715013,COL1A1/COL3A1/COL6A1/FBN1/GNAS,5,Training_Young,Down
