gene,pathway,database,module
MSN,Unmapped,NA,blue
REEP5,Unmapped,NA,blue
DYNC1H1,microtubule-based process,GO:BP,blue
KPNB1,microtubule-based process,GO:BP,blue
DYSF,Unmapped,NA,blue
MAPT,microtubule-based process,GO:BP,blue
HSPA8,protein folding,GO:BP,blue
NACA,Unmapped,NA,blue
CCT5,protein folding,GO:BP,blue
TUBA1B,microtubule-based process,GO:BP,blue
VCP,microtubule-based process,GO:BP,blue
TUBB,microtubule-based process,GO:BP,blue
PSMC2,Unmapped,NA,blue
USP5,Unmapped,NA,blue
S100A13,Unmapped,NA,blue
UCHL1,microtubule-based process,GO:BP,blue
FLNC,Unmapped,NA,blue
EEF1A1,Unmapped,NA,blue
CCT7,protein folding,GO:BP,blue
EIF2B1,Unmapped,NA,blue
HSPB2,protein folding,GO:BP,blue
S100A6,Unmapped,NA,blue
CLTC,microtubule-based process,GO:BP,blue
MOB4,Unmapped,NA,blue
FLNB,Unmapped,NA,blue
FLNA,microtubule-based process,GO:BP,blue
TNPO1,Unmapped,NA,blue
BIN1,Unmapped,NA,blue
CLIC4,Unmapped,NA,blue
EEF1G,Unmapped,NA,blue
ALDH1B1,Unmapped,NA,blue
CCT8,protein folding,GO:BP,blue
EHBP1L1,Unmapped,NA,blue
PFN2,Unmapped,NA,blue
SPAG9,Unmapped,NA,blue
HSPB7,Unmapped,NA,blue
GCN1,Unmapped,NA,blue
HSPA5,protein folding,GO:BP,blue
TUBB4B,microtubule-based process,GO:BP,blue
DYNC1I2,microtubule-based process,GO:BP,blue
KLHL40,Unmapped,NA,blue
EEF1D,Unmapped,NA,blue
NRAP,Unmapped,NA,blue
ARHGAP1,Unmapped,NA,blue
PSMD4,Unmapped,NA,blue
DCTN6,microtubule-based process,GO:BP,blue
HSP90B1,protein folding,GO:BP,blue
EIF2S3,Unmapped,NA,blue
TUBA4A,microtubule-based process,GO:BP,blue
CCT4,protein folding,GO:BP,blue
PSMD13,Unmapped,NA,blue
EEA1,Unmapped,NA,blue
PSMC4,Unmapped,NA,blue
PSMC6,Unmapped,NA,blue
LRMDA,Unmapped,NA,blue
CCT6A,protein folding,GO:BP,blue
FARSB,Unmapped,NA,blue
TCP1,protein folding,GO:BP,blue
GLRX3,Unmapped,NA,blue
PSME2,Unmapped,NA,blue
CSRP3,Unmapped,NA,blue
CCT3,protein folding,GO:BP,blue
HSPB1,protein folding,GO:BP,blue
ATIC,Unmapped,NA,blue
CBR1,Unmapped,NA,blue
S100A4,Unmapped,NA,blue
ECPAS,Unmapped,NA,blue
HRC,Unmapped,NA,blue
NES,Unmapped,NA,blue
CCT2,protein folding,GO:BP,blue
IPO5,Unmapped,NA,blue
S100A16,Unmapped,NA,blue
DYNLT1,microtubule-based process,GO:BP,blue
PDLIM3,Unmapped,NA,blue
RPS11,Unmapped,NA,blue
PSMD14,Unmapped,NA,blue
VARS1,Unmapped,NA,blue
TUBB6,microtubule-based process,GO:BP,blue
MAP4,microtubule-based process,GO:BP,blue
EEF1A2,Unmapped,NA,blue
ANXA2,Unmapped,NA,blue
CAPN2,Unmapped,NA,blue
SLMAP,Unmapped,NA,blue
NEK9,Unmapped,NA,blue
DNAJA2,protein folding,GO:BP,blue
MAPRE3,microtubule-based process,GO:BP,blue
PSME4,Unmapped,NA,blue
ANKRD2,Unmapped,NA,blue
NAA10,Unmapped,NA,blue
UBL4A,Unmapped,NA,blue
KTN1,microtubule-based process,GO:BP,blue
DYNC1LI1,microtubule-based process,GO:BP,blue
ALPK3,Unmapped,NA,blue
EEF1B2,Unmapped,NA,blue
GYS1,Unmapped,NA,blue
NAP1L1,Unmapped,NA,blue
HSPB3,Unmapped,NA,blue
EPRS1,Unmapped,NA,blue
CRYAB,protein folding,GO:BP,blue
GBE1,Unmapped,NA,blue
TMEM43,Unmapped,NA,blue
MAPRE1,microtubule-based process,GO:BP,blue
AKR1C1,Unmapped,NA,blue
BCAP31,Unmapped,NA,blue
HSP90AB1,protein folding,GO:BP,blue
CALU,Unmapped,NA,blue
DARS1,Unmapped,NA,blue
FAM120A,Unmapped,NA,blue
DDB1,microtubule-based process,GO:BP,blue
DHRS7,Unmapped,NA,blue
TXNL1,Unmapped,NA,blue
PFN1,Unmapped,NA,blue
APOL2,Unmapped,NA,blue
COMMD6,Unmapped,NA,blue
APMAP,Unmapped,NA,blue
LARS1,Unmapped,NA,blue
AKR1C3,Unmapped,NA,blue
CAST,Unmapped,NA,blue
KLHL41,Unmapped,NA,blue
PSMC1,Unmapped,NA,blue
RPS27A,Unmapped,NA,blue
STBD1,Unmapped,NA,blue
HSPA4,protein folding,GO:BP,blue
RARS1,Unmapped,NA,blue
PSME1,Unmapped,NA,blue
ACACA,Unmapped,NA,blue
PSMD8,Unmapped,NA,blue
SARS1,Unmapped,NA,blue
DNAJA4,protein folding,GO:BP,blue
CLTB,Unmapped,NA,blue
MTDH,Unmapped,NA,blue
KPNA4,Unmapped,NA,blue
HPRT1,Unmapped,NA,blue
AP2M1,Unmapped,NA,blue
EEF2,Unmapped,NA,blue
RDH11,Unmapped,NA,blue
TMED1,Unmapped,NA,blue
EZR,microtubule-based process,GO:BP,blue
CLIP1,microtubule-based process,GO:BP,blue
MYOF,Unmapped,NA,blue
PSMD11,Unmapped,NA,blue
RABEP1,Unmapped,NA,blue
CNIH4,Unmapped,NA,blue
GSR,Unmapped,NA,blue
JPT1,Unmapped,NA,blue
AHCY,Unmapped,NA,blue
BAG3,protein folding,GO:BP,blue
EIF3C,Unmapped,NA,blue
ACSL3,Unmapped,NA,blue
UGP2,Unmapped,NA,blue
HYOU1,protein folding,GO:BP,blue
OSBPL11,Unmapped,NA,blue
RPS27,Unmapped,NA,blue
ANXA5,Unmapped,NA,blue
GNG12,Unmapped,NA,blue
MUSTN1,Unmapped,NA,blue
HSP90AA1,protein folding,GO:BP,blue
RPS7,Unmapped,NA,blue
MARCHF5,Unmapped,NA,blue
ESYT2,Unmapped,NA,blue
PSMC3,Unmapped,NA,blue
PSMD7,Unmapped,NA,blue
PDIA3,protein folding,GO:BP,blue
TRIM72,Unmapped,NA,blue
IL18,Unmapped,NA,blue
RAB1B,Unmapped,NA,blue
CD151,Unmapped,NA,blue
EIF3J,Unmapped,NA,blue
SPTAN1,Unmapped,NA,blue
CANX,protein folding,GO:BP,blue
CAPNS1,Unmapped,NA,blue
SMPX,Unmapped,NA,blue
HAT1,Unmapped,NA,blue
TUBB2A,microtubule-based process,GO:BP,blue
PEA15,Unmapped,NA,blue
KPNA1,Unmapped,NA,blue
CSRP1,Unmapped,NA,blue
SEC23IP,Unmapped,NA,blue
AP1M1,Unmapped,NA,blue
PPP1R12B,Unmapped,NA,blue
GART,Unmapped,NA,blue
FARSA,Unmapped,NA,blue
RRAD,Unmapped,NA,blue
CKAP4,Unmapped,NA,blue
GYG1,Unmapped,NA,blue
PHYKPL,Unmapped,NA,blue
TARS1,Unmapped,NA,blue
VCL,Unmapped,NA,blue
USP9X,Unmapped,NA,blue
DDX1,Unmapped,NA,blue
LMCD1,Unmapped,NA,blue
GLIPR2,Unmapped,NA,blue
SLK,microtubule-based process,GO:BP,blue
AP1B1,Unmapped,NA,blue
CYB5R3,Unmapped,NA,blue
PAICS,Unmapped,NA,blue
AP2A1,Unmapped,NA,blue
TMX3,Unmapped,NA,blue
RAN,microtubule-based process,GO:BP,blue
P4HB,protein folding,GO:BP,blue
ETF1,Unmapped,NA,blue
TXNDC5,protein folding,GO:BP,blue
EPHX1,Unmapped,NA,blue
RAB10,Unmapped,NA,blue
PSMC5,Unmapped,NA,blue
COPB2,Unmapped,NA,blue
UBE2O,Unmapped,NA,blue
SEC61A1,Unmapped,NA,blue
ERO1A,protein folding,GO:BP,blue
SURF4,Unmapped,NA,blue
ERAP1,Unmapped,NA,blue
CLIP2,microtubule-based process,GO:BP,blue
ARPP19,Unmapped,NA,blue
MCTS1,Unmapped,NA,blue
JSRP1,Unmapped,NA,blue
EIF2A,Unmapped,NA,blue
ABCE1,Unmapped,NA,blue
ACYP2,Unmapped,NA,blue
TMEM63A,Unmapped,NA,blue
CARNS1,Unmapped,NA,blue
PRKAG1,Unmapped,NA,blue
MEMO1,microtubule-based process,GO:BP,blue
TBCB,protein folding,GO:BP,blue
VAT1,Unmapped,NA,blue
MARS1,Unmapped,NA,blue
COMMD7,Unmapped,NA,blue
UNC45B,protein folding,GO:BP,blue
TMCO1,Unmapped,NA,blue
HSPA1A,protein folding,GO:BP,blue
S100A11,Unmapped,NA,blue
HSPA2,protein folding,GO:BP,blue
YWHAB,Unmapped,NA,blue
LGALS3,Unmapped,NA,blue
ENDOD1,Unmapped,NA,blue
SEC31A,Unmapped,NA,blue
GSPT1,Unmapped,NA,blue
ABHD6,Unmapped,NA,blue
MRPL36,Unmapped,NA,blue
STX7,Unmapped,NA,blue
FAM98A,Unmapped,NA,blue
TIPRL,Unmapped,NA,blue
RAP1B,Unmapped,NA,blue
ARCN1,Unmapped,NA,blue
CAPG,Unmapped,NA,blue
BCAP29,Unmapped,NA,blue
ANP32A,Unmapped,NA,blue
KLC1,microtubule-based process,GO:BP,blue
AHCYL1,Unmapped,NA,blue
SETD7,Unmapped,NA,blue
GANAB,Unmapped,NA,blue
ARL6IP5,Unmapped,NA,blue
SEC22B,Unmapped,NA,blue
ATP1A1,Unmapped,NA,blue
GDI2,Unmapped,NA,blue
PRKAA2,microtubule-based process,GO:BP,blue
BTF3L4,Unmapped,NA,blue
ILVBL,Unmapped,NA,blue
TPD52,Unmapped,NA,blue
NUDC,protein folding,GO:BP,blue
GBP2,Unmapped,NA,blue
HSPB6,protein folding,GO:BP,blue
UBR4,Unmapped,NA,blue
PRMT5,Unmapped,NA,blue
DCTN5,Unmapped,NA,blue
KIF5B,microtubule-based process,GO:BP,blue
PADI2,Unmapped,NA,blue
TOLLIP,Unmapped,NA,blue
KPNA6,Unmapped,NA,blue
DPP3,Unmapped,NA,blue
CAND1,Unmapped,NA,blue
FXYD1,Unmapped,NA,blue
AHCYL2,Unmapped,NA,blue
EIF5,Unmapped,NA,blue
ADRM1,Unmapped,NA,blue
ARPC1B,Unmapped,NA,blue
NHLRC2,Unmapped,NA,blue
CLINT1,Unmapped,NA,blue
RAB18,Unmapped,NA,blue
DYNC1LI2,microtubule-based process,GO:BP,blue
ANXA6,Unmapped,NA,blue
SERPINH1,Unmapped,NA,blue
HBS1L,Unmapped,NA,blue
TXLNB,Unmapped,NA,blue
MARCKS,Unmapped,NA,blue
AKR1C2,Unmapped,NA,blue
PPP2R1A,microtubule-based process,GO:BP,blue
S100A1,Unmapped,NA,blue
CNDP2,Unmapped,NA,blue
EIF4G2,Unmapped,NA,blue
CAVIN4,Unmapped,NA,blue
GPS1,Unmapped,NA,blue
CAND2,Unmapped,NA,blue
PCYOX1,Unmapped,NA,brown
ATP2A1,Unmapped,NA,brown
ATP2A3,Unmapped,NA,brown
ESD,Unmapped,NA,brown
PSMA4,Unmapped,NA,brown
EIF5A,Unmapped,NA,brown
PSMA6,Unmapped,NA,brown
PDE4DIP,Unmapped,NA,brown
RTN2,Unmapped,NA,brown
HINT1,Unmapped,NA,brown
PSMB6,Unmapped,NA,brown
PSMA2,Unmapped,NA,brown
PSMB5,Unmapped,NA,brown
TPI1,carbohydrate catabolic process,GO:BP,brown
PSMB3,Unmapped,NA,brown
RAB2A,Unmapped,NA,brown
PREP,Unmapped,NA,brown
RTN4,Unmapped,NA,brown
PGAM1,carbohydrate catabolic process,GO:BP,brown
PFKM,carbohydrate catabolic process,GO:BP,brown
SLC37A4,Unmapped,NA,brown
PRKAR1A,Unmapped,NA,brown
RHOA,Unmapped,NA,brown
