uniprot_id,cluster,gene
A6NDG6,2,PGP
A6NNS2,2,DHRS7C
A8MU46,2,SMTNL1
E9PAV3,2,NACA
O00151,2,PDLIM1
O00217,2,NDUFS8
O00231,2,PSMD11
O00232,2,PSMD12
O00233,2,PSMD9
O00303,2,EIF3F
O00330,2,PDHX
O00410,2,IPO5
O00423,2,EML1
O00429,2,DNM1L
O00442,2,RTCA
O00483,1,NDUFA4
O00487,2,PSMD14
O00499,1,BIN1
O00571,2,DDX3X
O00629,2,KPNA4
O00757,1,FBP2
O00764,2,PDXK
O14521,2,SDHD
O14558,1,HSPB6
O14561,2,NDUFAB1
O14732,2,IMPA2
O14737,2,PDCD5
O14818,2,PSMA7
O14880,1,MGST3
O14949,1,UQCRQ
O14950,2,MYL12B
O14958,1,CASQ2
O14979,2,HNRNPDL
O14983,1,ATP2A1
O15056,2,SYNJ2
O15061,2,SYNM
O15173,2,PGRMC2
O15212,2,PFDN6
O15273,2,TCAP
O43181,1,NDUFS4
O43242,2,PSMD3
O43396,2,TXNL1
O43488,2,AKR7A2
O43561,1,LAT
O43583,2,DENR
O43615,2,TIMM44
O43674,2,NDUFB5
O43676,1,NDUFB3
O43678,1,NDUFA2
O43707,1,ACTN4
O43741,2,PRKAB2
O43765,2,SGTA
O43772,2,SLC25A20
O43813,2,LANCL1
O43837,2,IDH3B
O43852,2,CALU
O43865,2,AHCYL1
O43920,2,NDUFS5
O60313,2,OPA1
O60493,2,SNX3
O60662,1,KLHL41
O60664,2,PLIN3
O60763,2,USO1
O60784,2,TOM1
O60869,2,EDF1
O60884,2,DNAJA2
O60888,2,CUTA
O60936,2,NOL3
O75083,2,WDR1
O75112,1,LDB3
O75155,2,CAND2
O75208,1,COQ9
O75223,2,GGCT
O75251,2,NDUFS7
O75298,1,RTN2
O75306,1,NDUFS2
O75323,1,NIPSNAP2
O75347,2,TBCA
O75369,1,FLNB
O75380,1,NDUFS6
O75390,1,CS
O75396,2,SEC22B
O75431,2,MTX2
O75489,1,NDUFS3
O75521,2,ECI2
O75531,2,BANF1
O75534,2,CSDE1
O75608,2,LYPLA1
O75746,1,SLC25A12
O75821,2,EIF3G
O75822,2,EIF3J
O75874,2,IDH1
O75891,2,ALDH1L1
O75915,1,ARL6IP5
O75923,2,DYSF
O75928,1,PIAS2
O75947,1,ATP5PD
O75964,1,ATP5MG
O76003,2,GLRX3
O94760,2,DDAH1
O94903,2,PLPBP
O94905,2,ERLIN2
O94919,2,ENDOD1
O95139,2,NDUFB6
O95167,2,NDUFA3
O95168,1,NDUFB4
O95169,2,NDUFB8
O95182,2,NDUFA7
O95202,2,LETM1
O95210,1,STBD1
O95292,2,VAPB
O95298,2,NDUFC2
O95299,1,NDUFA10
O95373,2,IPO7
O95563,2,MPC2
O95573,2,ACSL3
O95747,2,OXSR1
O95810,2,CAVIN2
O95817,2,BAG3
O95831,1,AIFM1
O96000,1,NDUFB10
P00338,1,LDHA
P00352,1,ALDH1A1
P00367,2,GLUD1
P00387,1,CYB5R3
P00390,2,GSR
P00403,1,MT-CO2
P00441,1,SOD1
P00505,1,GOT2
P00558,1,PGK1
P00568,1,AK1
P00738,1,HP
P00846,1,MT-ATP6
P00918,1,CA2
P01009,1,SERPINA1
P01023,2,A2M
P01024,2,C3
P01834,1,IGKC
P01857,1,IGHG1
P01859,1,IGHG2
P01860,2,IGHG3
P01871,2,IGHM
P01876,2,IGHA1
P02144,1,MB
P02511,1,CRYAB
P02545,2,LMNA
P02585,1,TNNC2
P02763,1,ORM1
P02766,2,TTR
P02768,1,ALB
P02787,1,TF
P02794,1,FTH1
P02795,2,MT2A
P03886,2,MT-ND1
P03897,2,MT-ND3
P03905,2,MT-ND4
P03915,2,MT-ND5
P03928,2,MT-ATP8
P04040,2,CAT
P04075,1,ALDOA
P04080,1,CSTB
P04083,2,ANXA1
P04179,1,SOD2
P04264,1,KRT1
P04406,1,GAPDH
P04439,2,HLA-A
P04632,2,CAPNS1
P04792,1,HSPB1
P04843,2,RPN1
P04899,2,GNAI2
P05023,2,ATP1A1
P05026,2,ATP1B1
P05090,2,APOD
P05091,2,ALDH2
P05109,2,S100A8
P05141,1,SLC25A5
P05198,2,EIF2S1
P05386,2,RPLP1
P05387,2,RPLP2
P05388,2,RPLP0
P05413,1,FABP3
P05556,2,ITGB1
P05783,1,KRT18
P05787,2,KRT8
P05976,1,MYL1
P06396,2,GSN
P06576,1,ATP5F1B
P06732,1,CKM
P06733,1,ENO1
P06744,1,GPI
P06748,2,NPM1
P06753,1,TPM3
P07099,2,EPHX1
P07108,1,DBI
P07195,1,LDHB
P07203,2,GPX1
P07237,1,P4HB
P07305,2,H1-0
P07339,2,CTSD
P07355,1,ANXA2
P07384,2,CAPN1
P07437,1,TUBB
P07451,1,CA3
P07585,2,DCN
P07602,1,PSAP
P07737,1,PFN1
P07738,2,BPGM
P07741,2,APRT
P07814,2,EPRS1
P07900,1,HSP90AA1
P07919,1,UQCRH
P07951,1,TPM2
P07954,1,FH
P08133,1,ANXA6
P08237,1,PFKM
P08238,1,HSP90AB1
P08559,1,PDHA1
P08574,1,CYC1
P08590,1,MYL3
P08670,1,VIM
P08727,1,KRT19
P08758,1,ANXA5
P08865,2,RPSA
P09104,1,ENO2
P09110,2,ACAA1
P09211,1,GSTP1
P09382,1,LGALS1
P09417,1,QDPR
P09429,2,HMGB1
P09467,1,FBP1
P09493,1,TPM1
P09622,1,DLD
P09669,1,COX6C
P09913,1,IFIT2
P09936,2,UCHL1
P09960,2,LTA4H
P0DMV8,1,HSPA1A
P0DOY2,1,IGLC2
P0DOY3,2,IGLC3
P0DP23,1,CALM1
P10301,2,RRAS
P10515,1,DLAT
P10599,1,TXN
P10606,1,COX5B
P10636,2,MAPT
P10644,1,PRKAR1A
P10768,1,ESD
P10809,1,HSPD1
P10916,1,MYL2
P11021,1,HSPA5
P11142,1,HSPA8
P11177,1,PDHB
P11216,1,PYGB
P11217,1,PYGM
P11233,2,RALA
P11277,2,SPTB
P11310,1,ACADM
P11532,2,DMD
P11586,2,MTHFD1
P11766,1,ADH5
P11940,2,PABPC1
P12081,2,HARS1
P12111,2,COL6A3
P12235,1,SLC25A4
P12236,1,SLC25A6
P12268,2,IMPDH2
P12277,1,CKB
P12814,1,ACTN1
P12882,1,MYH1
P12883,1,MYH7
P12955,2,PEPD
P13010,2,XRCC5
P13073,1,COX4I1
P13489,1,RNH1
P13639,1,EEF2
P13645,1,KRT10
P13693,1,TPT1
P13716,2,ALAD
P13798,1,APEH
P13804,1,ETFA
P13805,1,TNNT1
P13807,1,GYS1
P13861,2,PRKAR2A
P13929,1,ENO3
P13987,1,CD59
P14174,1,MIF
P14209,2,CD99
P14314,2,PRKCSH
P14324,2,FDPS
P14406,2,COX7A2
P14550,1,AKR1A1
P14618,1,PKM
P14621,1,ACYP2
P14625,1,HSP90B1
P14649,2,MYL6B
P14854,1,COX6B1
P14868,2,DARS1
P14927,1,UQCRB
P15090,1,FABP4
P15121,1,AKR1B1
P15259,1,PGAM2
P15374,2,UCHL3
P15880,2,RPS2
P15954,1,COX7C
P16152,2,CBR1
P16219,1,ACADS
P16298,2,PPP3CB
P16615,1,ATP2A2
P16671,2,CD36
P16930,2,FAH
P16989,2,YBX3
P17152,2,TMEM11
P17174,1,GOT1
P17540,1,CKMT2
P17568,2,NDUFB7
P17612,2,PRKACA
P17655,2,CAPN2
P17661,1,DES
P17858,1,PFKL
P17980,2,PSMC3
P17987,2,TCP1
P18124,2,RPL7
P18206,1,VCL
P18621,2,RPL17
P18669,1,PGAM1
P18859,1,ATP5PF
P19237,1,TNNI1
P19338,2,NCL
P19367,1,HK1
P19404,1,NDUFV2
P20073,1,ANXA7
P20618,2,PSMB1
P20674,1,COX5A
P20810,2,CAST
P20929,1,NEB
P21266,1,GSTM3
P21281,2,ATP6V1B2
P21291,2,CSRP1
P21333,1,FLNA
P21397,2,MAOA
P21399,2,ACO1
P21695,1,GPD1
P21796,1,VDAC1
P21817,1,RYR1
P21912,1,SDHB
P21964,2,COMT
P22061,1,PCMT1
P22234,2,PAICS
P22314,1,UBA1
P22352,2,GPX3
P22392,1,NME2
P22626,2,HNRNPA2B1
P22695,1,UQCRC2
P22830,2,FECH
P23297,1,S100A1
P23327,2,HRC
P23381,2,WARS1
P23396,1,RPS3
P23526,2,AHCY
P23528,1,CFL1
P23786,2,CPT2
P24298,2,GPT
P24310,1,COX7A1
P24311,2,COX7B
P24534,2,EEF1B2
P24539,1,ATP5PB
P24666,2,ACP1
P24752,1,ACAT1
P25311,2,AZGP1
P25398,2,RPS12
P25705,1,ATP5F1A
P25786,2,PSMA1
P25787,2,PSMA2
P25788,2,PSMA3
P25789,2,PSMA4
P26038,1,MSN
P26373,2,RPL13
P26440,2,IVD
P26447,2,S100A4
P26640,2,VARS1
P26641,1,EEF1G
P26678,1,PLN
P27338,2,MAOB
P27348,2,YWHAQ
P27635,2,RPL10
P27797,2,CALR
P27816,2,MAP4
P27824,2,CANX
P28066,1,PSMA5
P28070,2,PSMB4
P28072,2,PSMB6
P28074,2,PSMB5
P28161,1,GSTM2
P28331,1,NDUFS1
P28482,2,MAPK1
P28838,2,LAP3
P29144,2,TPP2
P29218,2,IMPA1
P29692,2,EEF1D
P30038,2,ALDH4A1
P30040,2,ERP29
P30041,1,PRDX6
P30043,1,BLVRB
P30044,1,PRDX5
P30048,1,PRDX3
P30049,1,ATP5F1D
P30050,2,RPL12
P30084,1,ECHS1
P30086,1,PEBP1
P30101,2,PDIA3
P30153,2,PPP2R1A
P30405,2,PPIF
P30566,2,ADSL
P30622,2,CLIP1
P30740,2,SERPINB1
P31040,1,SDHA
P31150,2,GDI1
P31153,2,MAT2A
P31415,1,CASQ1
P31930,1,UQCRC1
P31937,1,HIBADH
P31939,2,ATIC
P31943,2,HNRNPH1
P31946,1,YWHAB
P31948,2,STIP1
P32119,1,PRDX2
P33121,1,ACSL1
P33176,2,KIF5B
P34932,2,HSPA4
P34949,2,MPI
P35080,1,PFN2
P35237,2,SERPINB6
P35241,2,RDX
P35268,2,RPL22
P35573,1,AGL
P35579,1,MYH9
P35609,1,ACTN2
P35613,2,BSG
P35908,2,KRT2
P35998,2,PSMC2
P36542,1,ATP5F1C
P36776,2,LONP1
P36871,1,PGM1
P36957,1,DLST
P36959,2,GMPR
P36969,2,GPX4
P37802,2,TAGLN2
P37837,2,TALDO1
P38117,1,ETFB
P38646,1,HSPA9
P39019,2,RPS19
P40123,2,CAP2
P40227,1,CCT6A
P40925,1,MDH1
P40926,1,MDH2
P40939,1,HADHA
P41091,2,EIF2S3
P41236,2,PPP1R2
P42126,1,ECI1
P42330,2,AKR1C3
P42677,2,RPS27
P42704,2,LRPPRC
P42765,1,ACAA2
P43034,2,PAFAH1B1
P43155,1,CRAT
P43304,2,GPD2
P43490,2,NAMPT
P43686,2,PSMC4
P45378,1,TNNT3
P45880,1,VDAC2
P45974,2,USP5
P46019,2,PHKA2
P46020,2,PHKA1
P46109,2,CRKL
P46734,2,MAP2K3
P46777,2,RPL5
P46779,2,RPL28
P46781,2,RPS9
P46782,2,RPS5
P46783,2,RPS10
P46976,1,GYG1
P47755,2,CAPZA2
P47756,2,CAPZB
P47813,2,EIF1AX
P47897,2,QARS1
P47914,2,RPL29
P47985,1,UQCRFS1
P48047,1,ATP5PO
P48147,2,PREP
P48163,2,ME1
P48637,2,GSS
P48643,2,CCT5
P48735,1,IDH2
P48788,1,TNNI2
P49189,1,ALDH9A1
P49368,2,CCT3
P49411,1,TUFM
P49588,2,AARS1
P49720,2,PSMB3
P49721,2,PSMB2
P49748,1,ACADVL
P49753,1,ACOT2
P49773,1,HINT1
P49821,1,NDUFV1
P50213,1,IDH3A
P50395,2,GDI2
P50461,1,CSRP3
P50502,1,ST13
P50570,2,DNM2
P50990,2,CCT8
P50991,2,CCT4
P50993,2,ATP1A2
P50995,2,ANXA11
P51148,2,RAB5C
P51149,2,RAB7A
P51452,1,DUSP3
P51553,2,IDH3G
P51572,2,BCAP31
P51648,2,ALDH3A2
P51649,2,ALDH5A1
P51659,2,HSD17B4
P51665,2,PSMD7
P51668,2,UBE2D1
P51687,2,SUOX
P51812,2,RPS6KA3
P51858,2,HDGF
P51884,2,LUM
P51970,1,NDUFA8
P52179,1,MYOM1
P52209,2,PGD
P52564,2,MAP2K6
P52565,2,ARHGDIA
P52758,2,RIDA
P52907,2,CAPZA1
P53004,2,BLVRA
P53597,1,SUCLG1
P53985,2,SLC16A1
P53990,2,IST1
