ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,database,cluster
GOBP_MICROTUBULE_BASED_MOVEMENT,GOBP_MICROTUBULE_BASED_MOVEMENT,25/549,50/2049,0.5,1.866120218579235,3.7502679704994,3.33601675614046e-4,0.012183713370252114,0.010763806924846794,DYNC1LI2/HSPB1/UCHL1/MAPT/LAMP1/RAB6A/MAP4/KIF5B/ARL3/PAFAH1B1/ACTR2/DYNLL1/DYNLT1/TUBB4B/HNRNPU/KLC1/DYNC1I2/DCTN1/DYNC1H1/KPNB1/KTN1/SYNE2/VPS13A/ARL8B/DYNC1LI1,25,GO:BP,C1
GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,80/549,220/2049,0.36363636363636365,1.3571783407848983,3.39152577531928,6.165148924226534e-4,0.01883172762309196,0.01663705259934816,NACA/BIN1/HSPB6/ARL6IP5/MFN2/DDAH2/TXNDC12/CRYAB/TFRC/ANXA1/HSPB1/GNAI2/ITGB1/GSN/PTMA/P4HB/CTSB/HSP90AA1/HSP90AB1/ANXA5/IFIT2/HSPA1A/HSPA5/PEPD/MIF/HSP90B1/AKR1B1/ATP2A2/YBX3/CAPN2/LGALS3/CAST/PTMS/FLNA/RPS3/CALR/PRDX5/PPP2R1A/DNAJA1/AKR1C3/BAG6/NES/GSK3B/DNM2/BCAP31/KPNA1/PRKAA2/VCP/UFM1/RPS7/PSMC5/RPS6/PPIA/PRKDC/AKAP12/GBE1/EEF1A2/PPID/PRKAA1/AIMP2/PAK2/CAMK2D/PEA15/HSPB2/DDB1/MTDH/TXNDC5/COPS5/DDRGK1/TMEM109/NAA15/SLK/UBE2Z/TIGAR/RTN4/XPNPEP1/UBQLN1/STUB1/RUVBL2/HYOU1,80,GO:BP,C1
GOBP_PROTEIN_STABILIZATION,GOBP_PROTEIN_STABILIZATION,28/549,60/2049,0.4666666666666667,1.741712204007286,3.5269489803609226,6.337166318863414e-4,0.018931466194398186,0.016725167502569825,CRYAB/ATP1B1/PFN1/HSP90AA1/HSP90AB1/HSPA1A/LAMP1/TCP1/FLNA/PPIB/CALR/AKT2/PFN2/CCT6A/BAG6/CCT5/CCT3/CCT8/CCT4/RPS7/CCT2/RABL3/USP9X/CCT7/NAA15/RTN4/STUB1/RUVBL2,28,GO:BP,C1
GOCC_ORGANELLE_SUBCOMPARTMENT,GOCC_ORGANELLE_SUBCOMPARTMENT,98/497,226/1879,0.4336283185840708,1.6394116913872618,6.144270575798597,2.9853932354208598e-9,2.875928816788761e-7,1.77028581328465e-7,ESYT2/PGRMC1/CASQ2/SURF4/AP1G1/CALU/AHCYL1/KLHL41/RTN2/SEC22B/ARL6IP5/SEC31A/RTN3/STBD1/LYPLA2/ACSL3/CDS2/CYB5R3/RPN1/RPN2/EPHX1/CLTB/UCHL1/HSPA5/HSP90B1/ATP2A2/RAB6A/DNAJB2/PLN/CALR/CANX/DNAJA1/COPB2/DDOST/ARCN1/BCAP31/COPA/SEC24C/VCP/SEC61B/RAB10/SEC61A1/B2M/RPS26/RPS27A/CLTC/REEP5/PLP2/EEF1A2/CKAP4/AP1B1/TMED1/CAMK2B/CAMK2D/SCARB2/MLEC/KPNB1/SLMAP/SEC23A/ECPAS/DHRS7B/MTDH/KTN1/MMGT1/EMC1/SYNE2/UFD1/ERGIC1/ERO1A/DDRGK1/JSRP1/VPS13A/MGST2/APOL2/ERP44/ESYT1/TMEM43/TMEM109/AP1M1/RAB1B/TMX1/TOR1AIP2/GORASP2/PREB/RAB18/RTN4/SAR1A/ERAP1/CNIH4/EMC3/DPM3/BCAP29/CYB5R1/TMCO1/DHRS7/MOB4/SRPRB/CLIC4,98,GO:CC,C1
GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,64/497,158/1879,0.4050632911392405,1.5314163461783359,4.184513604448978,4.0195235982049816e-5,4.93945579361101e-4,3.04049546210257e-4,CLIC1/STX7/AP1G1/SPAG9/EIF3G/SEC31A/STBD1/ACSL3/TFRC/ITGB1/S100A6/CTSB/HSP90AA1/HSP90AB1/HSPA1A/LAMP1/LCP1/HSP90B1/EZR/YBX3/PRKACA/CAPN2/FLNA/PPIB/DNAJB2/MSN/S100A4/PLN/CALR/PRDX5/DNAJA1/YWHAB/GBP2/KIF5B/SERPINF1/PAFAH1B1/BCAP31/VCP/RAB10/RAP1A/ARF5/CKAP4/ARHGAP1/PAK2/PICALM/PLEC/SEC23A/COPS6/MTDH/UNC45B/COPS5/S100A16/SNF8/S100A13/TPPP3/TOLLIP/RAB1B/SLK/EHD1/SEPTIN9/UBQLN1/MAPRE3/MOB4/CLIC4,64,GO:CC,C1
GOCC_CELL_BODY,GOCC_CELL_BODY,33/497,73/1879,0.4520547945205479,1.7090763760646066,3.704823649901825,3.2833680311587267e-4,0.0026358148916802004,0.0016224830329410083,PGRMC1/FLNB/CRYAB/GNAI2/TUBB/HSP90AA1/HSP90AB1/UCHL1/MAPT/CAPN2/TCP1/FLNA/PPP2R1A/SERPINF1/PAFAH1B1/CCT5/CCT3/CCT8/CCT4/PRKAA2/RPS6/CCT2/AKAP12/STRN3/PRKAA1/PICALM/DCTN1/VPS13A/NAP1L4/CCT7/CACYBP/RTN4/DBNL,33,GO:CC,C1
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,39/267,86/1024,0.45348837209302323,1.7392213221844786,4.251750774100608,4.16897907018752e-5,0.0014815086728287104,0.0013312658164057732,PSMD12/PSMD14/ACSL3/GSR/HPRT1/TFRC/RPN1/EPRS1/HSPA5/HSP90B1/ATP2A2/PFKL/WARS1/PSMA3/CALR/CANX/PSMB5/STIP1/HSPA4/PSMC2/CCT6A/PSMC4/GSK3B/SERPINH1/ACTR2/UFM1/PSMC6/ETF1/PPIA/TUBA4A/GBE1/ACACA/PDAP1/PPA1/COPS5/ERO1A/CACYBP/PSMD13/UCHL5,39,Hallmark,C1
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,20/267,35/1024,0.5714285714285714,2.1915462814339217,4.257869041778269,7.226871574774197e-5,0.0014815086728287104,0.0013312658164057732,BIN1/FLNB/GSN/EZR/VCL/FLNA/MARCKS/CLIP1/KIF5B/PAFAH1B1/PXN/YWHAE/TUBA4A/SPTBN1/KLC1/SPTAN1/DYNC1H1/MAPRE1/FSCN1/SEPTIN9,20,Hallmark,C1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,16/267,32/1024,0.5,1.9176029962546817,3.130541633284356,0.0027555290291024254,0.037658896731066475,0.033839830181959615,SEC31A/HSPA5/EEF2/HSP90B1/TARS1/CALR/KIF5B/IARS1/EIF4G1/DCTN1/DNAJA4/KHSRP/ERO1A/PREB/HYOU1/SRPRB,16,Hallmark,C1
GOBP_CELL_ADHESION,GOBP_CELL_ADHESION,53/378,161/2049,0.32919254658385094,1.7844326136251603,4.930491742480956,3.1029530363697253e-6,1.9125331615871353e-4,1.7939987701213024e-4,PDLIM1/STXBP3/ACTN4/UFL1/COL1A1/COL3A1/VWF/KRT18/RPSA/LGALS1/TPM1/LAMC1/COL6A1/COL6A2/COL6A3/ACTN1/NID1/TGM2/NME2/LAMA2/MYL9/FBN1/MYH9/ACTN2/COL15A1/CRKL/BCAM/DUSP3/LAMB2/ACTB/PPP1CA/PPP1CB/FBLN2/HSPG2/MYBPC1/CAV1/PRKCQ/DPT/ACTN3/PPP3CA/NEXN/MYBPH/ITGA7/NID2/CTTN/MYBPC2/PGM5/MYPN/PREX1/PALLD/PDLIM5/MYOT/FNDC3A,53,GO:BP,C2
