gene,category
ACTN1,Cell-Cell communication
ACTN4,Cell-Cell communication
FLNC,Cell-Cell communication
COPS7B,DNA Repair
UBE2B,DNA Repair
UBE2I,DNA Repair
ANXA3,Developmental Biology
EZR,Developmental Biology
MSN,Developmental Biology
GBE1,Disease
HPRT1,Disease
MAOA,Disease
CAPN2,Extracellular matrix organization
CTSG,Extracellular matrix organization
NID1,Extracellular matrix organization
SERPINH1,Extracellular matrix organization
COX7B,Gene expression (Transcription)
MT-CO1,Gene expression (Transcription)
MT-CO3,Gene expression (Transcription)
NFIC,Gene expression (Transcription)
SSU72,Gene expression (Transcription)
CALU,Hemostasis
COL1A1,Hemostasis
CD81,Immune System
DYNLT1,Immune System
FSCN1,Immune System
PSME1,Immune System
PSME2,Immune System
S100A11,Immune System
ADH1B,Metabolism
ALDH1B1,Metabolism
ALDH6A1,Metabolism
ASS1,Metabolism
CARNS1,Metabolism
CBR1,Metabolism
CHDH,Metabolism
GPT2,Metabolism
MAOB,Metabolism
MGST3,Metabolism
MT-ND4,Metabolism
NDUFA3,Metabolism
NDUFA6,Metabolism
NDUFB6,Metabolism
NDUFB7,Metabolism
NDUFS7,Metabolism
NDUFV2,Metabolism
PCYT2,Metabolism
SLC25A42,Metabolism
RPL24,Metabolism of RNA
RPS11,Metabolism of RNA
SNU13,Metabolism of RNA
UTP15,Metabolism of RNA
ART3,Metabolism of proteins
FARSA,Metabolism of proteins
FARSB,Metabolism of proteins
MSRB3,Metabolism of proteins
UCHL1,Metabolism of proteins
VARS1,Metabolism of proteins
ACTA1,Muscle contraction
MYH3,Muscle contraction
MYL2,Muscle contraction
MYL3,Muscle contraction
MYLK,Muscle contraction
SORBS1,Muscle contraction
TNNC1,Muscle contraction
TNNI1,Muscle contraction
TNNT1,Muscle contraction
TPM3,Muscle contraction
DYNC1H1,Organelle biogenesis and maintenance
DYNC1I2,Organelle biogenesis and maintenance
IFT81,Organelle biogenesis and maintenance
ACP1,Other
ANXA1,Other
CAMK2D,Other
CAPRIN1,Other
CCDC137,Other
DHRS11,Other
DYNC1LI1,Other
FAM185A,Other
GLIPR2,Other
H3-3A,Other
HSPB6,Other
HSPB7,Other
JPT2,Other
MUSTN1,Other
MYBPH,Other
MYH7,Other
PEBP4,Other
PLEKHF1,Other
PREX1,Other
RAB6A,Other
RBM3,Other
RPA2,Other
S100A13,Other
S100A4,Other
S100A6,Other
SLC25A46,Other
SYNGR2,Other
TES,Other
TMEM143,Other
UBN2,Other
WBP2,Other
XIRP1,Other
GSN,Programmed Cell Death
H1-0,Programmed Cell Death
EMD,Protein localization
TOMM22,Protein localization
ACTN2,ST: MAPK family signaling cascades
HSPB1,ST: MAPK family signaling cascades
GNAS,ST: Signaling by Hedgehog
TUBB6,ST: Signaling by Hedgehog
AKR1C3,ST: Signaling by Nuclear Receptors
CAV2,ST: Signaling by Nuclear Receptors
CILP,ST: Signaling by Receptor Tyrosine Kinases
COL3A1,ST: Signaling by Receptor Tyrosine Kinases
COL4A1,ST: Signaling by Receptor Tyrosine Kinases
COL4A2,ST: Signaling by Receptor Tyrosine Kinases
COL6A1,ST: Signaling by Receptor Tyrosine Kinases
FLT1,ST: Signaling by Receptor Tyrosine Kinases
LAMC1,ST: Signaling by Receptor Tyrosine Kinases
ARHGAP1,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
CCT6A,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
TOR1AIP1,"ST: Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
COL1A2,ST: Signaling by TGFB family members
FBN1,ST: Signaling by TGFB family members
USP9X,ST: Signaling by TGFB family members
GLRX3,Transport of small molecules
MICU2,Transport of small molecules
SLC20A2,Transport of small molecules
DCTN5,Vesicle-mediated transport
TBC1D24,Vesicle-mediated transport
