gene,cluster_id,cluster_label
MIEN1,135,17Q12 COPY NUMBER VARIATION SYNDROME
RPL23,135,17Q12 COPY NUMBER VARIATION SYNDROME
ETFB,29,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
MT-ND4,29,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
NDUFA1,29,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
NDUFA11,29,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
PYURF,29,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
CAMK2D,141,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY
CAPN3,141,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY
AKR7A2,65,AFLATOXIN ACTIVATION AND DETOXIFICATION
MGST2,65,AFLATOXIN ACTIVATION AND DETOXIFICATION
ASS1,6,ALANINE ASPARTATE AND GLUTAMATE METABOLISM
GPT2,6,ALANINE ASPARTATE AND GLUTAMATE METABOLISM
MAOB,42,ALPHA SYNUCLEIN PATHWAY
UCHL1,42,ALPHA SYNUCLEIN PATHWAY
DES,44,AURORA B PATHWAY
NCL,44,AURORA B PATHWAY
COL3A1,68,BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTO
HP,68,BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTO
MCCC1,69,BIOTIN TRANSPORT AND METABOLISM
MCEE,69,BIOTIN TRANSPORT AND METABOLISM
PCCB,69,BIOTIN TRANSPORT AND METABOLISM
CARM1,70,BMAL1 CLOCK NPAS2 ACTIVATES CIRCADIAN EXPRESSION
NAMPT,70,BMAL1 CLOCK NPAS2 ACTIVATES CIRCADIAN EXPRESSION
PHKA2,10,CALCIUM SIGNALING PATHWAY
PHKB,10,CALCIUM SIGNALING PATHWAY
CSRP3,149,CARDIOMYOCYTE SIGNALING CONVERGING ON TITIN
TTN,149,CARDIOMYOCYTE SIGNALING CONVERGING ON TITIN
OBSCN,58,CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE
PREX1,58,CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE
MRPL9,35,CELLULAR RESPONSES TO STIMULI
RPL10,35,CELLULAR RESPONSES TO STIMULI
RPL22,35,CELLULAR RESPONSES TO STIMULI
RPL23A,35,CELLULAR RESPONSES TO STIMULI
RPL24,35,CELLULAR RESPONSES TO STIMULI
RPL32,35,CELLULAR RESPONSES TO STIMULI
RPL34,35,CELLULAR RESPONSES TO STIMULI
RPL35,35,CELLULAR RESPONSES TO STIMULI
RPL35A,35,CELLULAR RESPONSES TO STIMULI
RPL37A,35,CELLULAR RESPONSES TO STIMULI
RPS10,35,CELLULAR RESPONSES TO STIMULI
RPS15,35,CELLULAR RESPONSES TO STIMULI
RPS21,35,CELLULAR RESPONSES TO STIMULI
RPS3A,35,CELLULAR RESPONSES TO STIMULI
DDAH2,76,CHROMATIN ORGANIZATION
HAT1,76,CHROMATIN ORGANIZATION
