gene,n_miss,pct_miss,mean_intensity,classification,imputation_reliable,group_miss_pval
MMP24OS,25,40.32258064516129,16.321770897340123,MNAR,TRUE,4.997501249375312e-4
ESYT2,18,29.03225806451613,17.098650595362855,MNAR,TRUE,4.997501249375312e-4
ILVBL,17,27.419354838709676,17.002504397661998,MNAR,TRUE,0.08595702148925537
FSD2,6,9.67741935483871,17.97814975810267,MNAR,TRUE,0.05147426286856572
TARS3,22,35.483870967741936,15.48939782587272,MNAR,TRUE,4.997501249375312e-4
VWA8,34,54.83870967741935,21.47818511719537,MNAR,FALSE,9.995002498750624e-4
CARNS1,9,14.516129032258066,20.23353769295833,MNAR,TRUE,0.09945027486256872
MAP1LC3B2,31,50,20.717490739315913,MNAR,FALSE,4.997501249375312e-4
PGP,0,0,23.020117452198345,Complete,TRUE,NA
DHRS7C,0,0,21.641342562227027,Complete,TRUE,NA
SMTNL1,0,0,23.41462142695677,Complete,TRUE,NA
NUDT19,19,30.64516129032258,17.111583042032816,MNAR,TRUE,0.3708145927036482
NACA,0,0,23.684780525636413,Complete,TRUE,NA
SLC35A4,11,17.741935483870968,18.62197126387633,MNAR,TRUE,0.63968015992004
PDLIM1,0,0,22.347141213884665,Complete,TRUE,NA
MYO1C,12,19.35483870967742,18.5207959037453,MNAR,TRUE,0.018490754622688656
FXYD1,6,9.67741935483871,19.844452967574366,MNAR,TRUE,1
STXBP3,9,14.516129032258066,18.29387534037128,MNAR,TRUE,0.11694152923538231
NDUFS8,0,0,22.64451350364609,Complete,TRUE,NA
PSMD11,0,0,21.83261232871907,Complete,TRUE,NA
PSMD12,0,0,20.5520090426159,Complete,TRUE,NA
PSMD9,0,0,18.078684053184734,Complete,TRUE,NA
PGRMC1,30,48.38709677419355,18.945299243914537,MNAR,TRUE,0.2288855572213893
CLIC1,1,1.6129032258064515,19.374852083696865,MNAR,TRUE,1
EIF3F,0,0,19.653754068548995,Complete,TRUE,NA
PDHX,0,0,23.416767717035135,Complete,TRUE,NA
DCTN6,33,53.2258064516129,15.850289511233024,MNAR,FALSE,0.05997001499250375
IPO5,0,0,21.672215997050895,Complete,TRUE,NA
EEF2K,12,19.35483870967742,16.354049658869478,MNAR,TRUE,0.01199400299850075
EML1,0,0,20.48896541039036,Complete,TRUE,NA
DNM1L,0,0,20.244950247832413,Complete,TRUE,NA
RTCA,0,0,20.840617685962084,Complete,TRUE,NA
NDUFA4,0,0,26.111192477359143,Complete,TRUE,NA
PSMD14,0,0,20.67642448925529,Complete,TRUE,NA
BIN1,0,0,26.344461960250005,Complete,TRUE,NA
KPNA3,1,1.6129032258064515,21.023140149856378,MNAR,TRUE,0.47626186906546725
DDX3X,0,0,19.596587337985405,Complete,TRUE,NA
KPNA4,0,0,22.958610078088306,Complete,TRUE,NA
CES2,11,17.741935483870968,20.520099562750566,MNAR,TRUE,0.12293853073463268
FBP2,0,0,26.001692314334438,Complete,TRUE,NA
PDXK,0,0,19.2753351058978,Complete,TRUE,NA
SDHD,0,0,23.23884205159438,Complete,TRUE,NA
COX7A2L,29,46.774193548387096,16.51417325676416,MNAR,TRUE,0.001999000499750125
GAPDHS,24,38.70967741935484,19.65657842077361,MNAR,TRUE,0.0544727636181909
HSPB6,0,0,27.08194341913435,Complete,TRUE,NA
NDUFAB1,0,0,23.429368407319327,Complete,TRUE,NA
IMPA2,0,0,22.356024831765286,Complete,TRUE,NA
PDCD5,0,0,20.864244213374338,Complete,TRUE,NA
PRMT5,1,1.6129032258064515,20.04597993688854,MNAR,TRUE,1
PSMA7,0,0,23.6552137323145,Complete,TRUE,NA
OPLAH,5,8.064516129032258,18.9451083577061,MNAR,TRUE,0.047976011994003
MGST3,0,0,24.536769202835565,Complete,TRUE,NA
RGS12,3,4.838709677419355,20.555208734623204,MNAR,TRUE,0.8025987006496752
HAT1,18,29.03225806451613,18.910061328294688,MNAR,TRUE,0.7371314342828585
UQCRQ,0,0,25.01447083329647,Complete,TRUE,NA
MYL12B,0,0,21.002867479101024,Complete,TRUE,NA
UQCR11,1,1.6129032258064515,21.527125100455184,MNAR,TRUE,1
CASQ2,0,0,25.64672964483922,Complete,TRUE,NA
HGS,16,25.806451612903224,16.349315748130763,MNAR,TRUE,0.013993003498250875
HNRNPDL,0,0,18.6473750902593,Complete,TRUE,NA
XPO1,1,1.6129032258064515,18.79397998408404,MNAR,TRUE,1
ATP2A1,0,0,28.306311430351034,Complete,TRUE,NA
SYNJ2,0,0,22.902158846414668,Complete,TRUE,NA
SYNM,0,0,21.165489251146624,Complete,TRUE,NA
ARPC1B,13,20.967741935483872,17.155336255502114,MNAR,TRUE,0.03248375812093953
ARPC2,39,62.903225806451616,16.832559662518516,MNAR,FALSE,9.995002498750624e-4
PGRMC2,0,0,21.233548682383745,Complete,TRUE,NA
PFDN6,0,0,20.45926989645674,Complete,TRUE,NA
NDUFA1,15,24.193548387096776,20.913622378562724,MNAR,TRUE,0.2543728135932034
SURF4,2,3.225806451612903,24.39673575555504,MNAR,TRUE,0.8655672163918041
MAPK13,40,64.51612903225806,19.485997867759963,MNAR,FALSE,4.997501249375312e-4
