gene,pathway,database,cluster
DHRS7C,Unmapped,NA,C1
SMTNL1,regulation of tube size,GO:BP,C1
EML1,Unmapped,NA,C1
KPNA4,cell-cell signaling,GO:BP,C1
FBP2,HALLMARK_GLYCOLYSIS,Hallmark,C1
PDXK,aldehyde metabolic process,GO:BP,C1
GAPDHS,HALLMARK_GLYCOLYSIS,Hallmark,C1
IMPA2,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
PDCD5,Unmapped,NA,C1
XPO1,protein catabolic process,GO:BP,C1
ATP2A1,Unmapped,NA,C1
SYNJ2,Unmapped,NA,C1
ARPC2,Unmapped,NA,C1
PFDN6,Unmapped,NA,C1
MAPK13,response to external stimulus,GO:BP,C1
SLC16A3,HALLMARK_GLYCOLYSIS,Hallmark,C1
YKT6,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
ARPC5,Unmapped,NA,C1
DHX15,response to external stimulus,GO:BP,C1
CYB5B,cellular response to chemical stimulus,GO:BP,C1
TPD52L2,Unmapped,NA,C1
LAT,protein modification process,GO:BP,C1
DNPH1,Unmapped,NA,C1
BUB3,Unmapped,NA,C1
PRKAB2,Unmapped,NA,C1
SLC37A4,HALLMARK_GLYCOLYSIS,Hallmark,C1
PRPSAP2,Unmapped,NA,C1
TBC1D4,cellular response to chemical stimulus,GO:BP,C1
SNX2,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
USO1,Golgi organization,GO:BP,C1
TOM1,Unmapped,NA,C1
PFDN1,Unmapped,NA,C1
COBL,Unmapped,NA,C1
GGCT,Unmapped,NA,C1
VPS4B,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
SH3BGRL,protein catabolic process,GO:BP,C1
TIPRL,Unmapped,NA,C1
PSMD10,protein modification process,GO:BP,C1
IDH1,HALLMARK_GLYCOLYSIS,Hallmark,C1
DCTN3,Unmapped,NA,C1
FLOT1,response to external stimulus,GO:BP,C1
DDAH1,cellular response to chemical stimulus,GO:BP,C1
PLPBP,Unmapped,NA,C1
ZRANB2,Unmapped,NA,C1
PGM3,protein modification process,GO:BP,C1
H6PD,Unmapped,NA,C1
OXSR1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
BAG2,protein modification process,GO:BP,C1
EML2,Unmapped,NA,C1
BPNT1,HALLMARK_GLYCOLYSIS,Hallmark,C1
MOCS2,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
CYB5A,HALLMARK_GLYCOLYSIS,Hallmark,C1
ADH1B,Unmapped,NA,C1
LDHA,HALLMARK_GLYCOLYSIS,Hallmark,C1
ALDH1A1,aldehyde metabolic process,GO:BP,C1
SOD1,HALLMARK_GLYCOLYSIS,Hallmark,C1
CP,HALLMARK_COMPLEMENT,Hallmark,C1
PGK1,HALLMARK_GLYCOLYSIS,Hallmark,C1
AK1,Unmapped,NA,C1
HP,response to external stimulus,GO:BP,C1
CFB,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
CA2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
SERPINA1,HALLMARK_COMPLEMENT,Hallmark,C1
SERPINA3,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
AGT,response to external stimulus,GO:BP,C1
A2M,inflammatory response to antigenic stimulus,GO:BP,C1
C3,HALLMARK_COMPLEMENT,Hallmark,C1
CSTA,protein modification process,GO:BP,C1
JCHAIN,response to external stimulus,GO:BP,C1
IGKV3-20,response to external stimulus,GO:BP,C1
IGHV3-7,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
IGKC,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
IGHG1,inflammatory response to antigenic stimulus,GO:BP,C1
IGHG2,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
IGHG3,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
IGHM,response to external stimulus,GO:BP,C1
IGHA1,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
HLA-DRB1,inflammatory response to antigenic stimulus,GO:BP,C1
KRT14,Unmapped,NA,C1
APOE,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
APOC2,HALLMARK_COAGULATION,Hallmark,C1
LRG1,response to external stimulus,GO:BP,C1
RBP4,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
ORM1,Unmapped,NA,C1
TTR,Unmapped,NA,C1
ALB,cellular response to chemical stimulus,GO:BP,C1
TF,HALLMARK_COAGULATION,Hallmark,C1
FTH1,Unmapped,NA,C1
MT2A,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
CAT,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
ALDOA,HALLMARK_GLYCOLYSIS,Hallmark,C1
CSTB,Unmapped,NA,C1
KRT1,response to external stimulus,GO:BP,C1
GAPDH,HALLMARK_HYPOXIA,Hallmark,C1
HLA-A,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
APOD,negative regulation of response to stimulus,GO:BP,C1
ALDH2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
S100A8,response to external stimulus,GO:BP,C1
SERPING1,HALLMARK_COMPLEMENT,Hallmark,C1
CLEC3B,Unmapped,NA,C1
KRT8,response to external stimulus,GO:BP,C1
S100A9,HALLMARK_COMPLEMENT,Hallmark,C1
EIF4E,cellular response to chemical stimulus,GO:BP,C1
CKM,Unmapped,NA,C1
ENO1,HALLMARK_GLYCOLYSIS,Hallmark,C1
GPI,HALLMARK_HYPOXIA,Hallmark,C1
DBI,protein modification process,GO:BP,C1
GPX1,inflammatory response to antigenic stimulus,GO:BP,C1
CTSD,HALLMARK_COMPLEMENT,Hallmark,C1
DCN,HALLMARK_GLYCOLYSIS,Hallmark,C1
PSAP,Unmapped,NA,C1
BPGM,HALLMARK_HEME_METABOLISM,Hallmark,C1
ANXA6,Unmapped,NA,C1
CFH,HALLMARK_COMPLEMENT,Hallmark,C1
SNRNP70,protein catabolic process,GO:BP,C1
SERPINF2,response to external stimulus,GO:BP,C1
KRT19,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
ENO2,HALLMARK_GLYCOLYSIS,Hallmark,C1
GSTP1,response to external stimulus,GO:BP,C1
QDPR,Unmapped,NA,C1
HMGB1,inflammatory response to antigenic stimulus,GO:BP,C1
FBP1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
GSTM1,cellular response to chemical stimulus,GO:BP,C1
HMOX1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
LTA4H,HALLMARK_COMPLEMENT,Hallmark,C1
