uniprot_id,gene,contrast,flag
O14950,MYL12B,Training_Young,never_sig
O14957,UQCR11,Training_Young,never_sig
O14958,CASQ2,Training_Young,never_sig
O14964,HGS,Training_Young,never_sig
O14979,HNRNPDL,Training_Young,never_sig
O14980,XPO1,Training_Young,never_sig
O14983,ATP2A1,Training_Young,never_sig
O15056,SYNJ2,Training_Young,never_sig
O15061,SYNM,Training_Young,never_sig
O15143,ARPC1B,Training_Young,never_sig
O15144,ARPC2,Training_Young,never_sig
O15173,PGRMC2,Training_Young,never_sig
O15212,PFDN6,Training_Young,never_sig
O15239,NDUFA1,Training_Young,never_sig
O15260,SURF4,Training_Young,never_sig
O15264,MAPK13,Training_Young,never_sig
O15273,TCAP,Training_Young,never_sig
O15305,PMM2,Training_Young,never_sig
O15371,EIF3D,Training_Young,never_sig
O15372,EIF3H,Training_Young,never_sig
O15382,BCAT2,Training_Young,never_sig
O15400,STX7,Training_Young,never_sig
O15427,SLC16A3,Training_Young,imputation_dependent
O15498,YKT6,Training_Young,never_sig
O15511,ARPC5,Training_Young,never_sig
O15533,TAPBP,Training_Young,imputation_dependent
O43143,DHX15,Training_Young,never_sig
O43169,CYB5B,Training_Young,never_sig
O43181,NDUFS4,Training_Young,never_sig
O43237,DYNC1LI2,Training_Young,never_sig
O43242,PSMD3,Training_Young,never_sig
O43374,RASA4,Training_Young,never_sig
O43390,HNRNPR,Training_Young,never_sig
O43396,TXNL1,Training_Young,never_sig
O43399,TPD52L2,Training_Young,never_sig
O43414,ERI3,Training_Young,never_sig
O43488,AKR7A2,Training_Young,never_sig
O43561,LAT,Training_Young,never_sig
O43583,DENR,Training_Young,never_sig
O43598,DNPH1,Training_Young,never_sig
O43615,TIMM44,Training_Young,never_sig
O43617,TRAPPC3,Training_Young,never_sig
O43633,CHMP2A,Training_Young,never_sig
O43674,NDUFB5,Training_Young,robust
O43676,NDUFB3,Training_Young,imputation_dependent
O43678,NDUFA2,Training_Young,never_sig
O43684,BUB3,Training_Young,never_sig
O43707,ACTN4,Training_Young,never_sig
O43708,GSTZ1,Training_Young,never_sig
O43741,PRKAB2,Training_Young,never_sig
O43747,AP1G1,Training_Young,never_sig
O43760,SYNGR2,Training_Young,never_sig
O43765,SGTA,Training_Young,never_sig
O43768,ENSA,Training_Young,never_sig
O43772,SLC25A20,Training_Young,never_sig
O43776,NARS1,Training_Young,never_sig
O43813,LANCL1,Training_Young,never_sig
O43826,SLC37A4,Training_Young,never_sig
O43837,IDH3B,Training_Young,never_sig
O43852,CALU,Training_Young,robust
O43865,AHCYL1,Training_Young,robust
O43920,NDUFS5,Training_Young,imputation_dependent
O60220,TIMM8A,Training_Young,never_sig
O60237,PPP1R12B,Training_Young,never_sig
O60256,PRPSAP2,Training_Young,never_sig
O60271,SPAG9,Training_Young,never_sig
O60313,OPA1,Training_Young,never_sig
O60343,TBC1D4,Training_Young,never_sig
O60493,SNX3,Training_Young,never_sig
O60506,SYNCRIP,Training_Young,never_sig
O60613,SELENOF,Training_Young,never_sig
O60662,KLHL41,Training_Young,never_sig
O60664,PLIN3,Training_Young,robust
O60684,KPNA6,Training_Young,never_sig
O60749,SNX2,Training_Young,never_sig
O60763,USO1,Training_Young,never_sig
O60784,TOM1,Training_Young,never_sig
O60825,PFKFB2,Training_Young,never_sig
O60869,EDF1,Training_Young,never_sig
O60884,DNAJA2,Training_Young,robust
O60888,CUTA,Training_Young,never_sig
O60925,PFDN1,Training_Young,never_sig
O60936,NOL3,Training_Young,never_sig
O75083,WDR1,Training_Young,never_sig
O75112,LDB3,Training_Young,never_sig
O75122,CLASP2,Training_Young,never_sig
O75128,COBL,Training_Young,never_sig
O75131,CPNE3,Training_Young,never_sig
O75153,CLUH,Training_Young,never_sig
O75155,CAND2,Training_Young,never_sig
O75208,COQ9,Training_Young,never_sig
O75223,GGCT,Training_Young,robust
O75251,NDUFS7,Training_Young,robust
O75298,RTN2,Training_Young,never_sig
O75306,NDUFS2,Training_Young,imputation_dependent
O75323,NIPSNAP2,Training_Young,never_sig
O75339,CILP,Training_Young,never_sig
O75347,TBCA,Training_Young,never_sig
O75348,ATP6V1G1,Training_Young,never_sig
O75351,VPS4B,Training_Young,never_sig
O75368,SH3BGRL,Training_Young,never_sig
O75369,FLNB,Training_Young,never_sig
O75380,NDUFS6,Training_Young,robust
O75390,CS,Training_Young,never_sig
O75396,SEC22B,Training_Young,never_sig
O75431,MTX2,Training_Young,never_sig
O75436,VPS26A,Training_Young,never_sig
O75438,NDUFB1,Training_Young,imputation_dependent
O75439,PMPCB,Training_Young,never_sig
O75489,NDUFS3,Training_Young,robust
O75521,ECI2,Training_Young,never_sig
O75531,BANF1,Training_Young,never_sig
O75534,CSDE1,Training_Young,never_sig
O75569,PRKRA,Training_Young,never_sig
O75608,LYPLA1,Training_Young,never_sig
O75663,TIPRL,Training_Young,never_sig
O75688,PPM1B,Training_Young,never_sig
O75746,SLC25A12,Training_Young,never_sig
O75764,TCEA3,Training_Young,never_sig
O75821,EIF3G,Training_Young,never_sig
O75822,EIF3J,Training_Young,never_sig
O75832,PSMD10,Training_Young,never_sig
O75874,IDH1,Training_Young,never_sig
O75880,SCO1,Training_Young,never_sig
O75891,ALDH1L1,Training_Young,never_sig
O75915,ARL6IP5,Training_Young,never_sig
O75923,DYSF,Training_Young,robust
O75928,PIAS2,Training_Young,never_sig
O75935,DCTN3,Training_Young,never_sig
O75947,ATP5PD,Training_Young,never_sig
O75955,FLOT1,Training_Young,never_sig
O75964,ATP5MG,Training_Young,never_sig
O76003,GLRX3,Training_Young,robust
O76070,SNCG,Training_Young,never_sig
O94760,DDAH1,Training_Young,never_sig
O94811,TPPP,Training_Young,imputation_dependent
O94812,BAIAP3,Training_Young,never_sig
O94826,TOMM70,Training_Young,robust
O94874,UFL1,Training_Young,never_sig
O94886,TMEM63A,Training_Young,never_sig
O94903,PLPBP,Training_Young,never_sig
O94905,ERLIN2,Training_Young,never_sig
O94919,ENDOD1,Training_Young,never_sig
O94979,SEC31A,Training_Young,never_sig
O95139,NDUFB6,Training_Young,robust
O95140,MFN2,Training_Young,never_sig
O95167,NDUFA3,Training_Young,robust
O95168,NDUFB4,Training_Young,imputation_dependent
O95169,NDUFB8,Training_Young,imputation_dependent
O95182,NDUFA7,Training_Young,never_sig
O95197,RTN3,Training_Young,never_sig
O95202,LETM1,Training_Young,never_sig
O95210,STBD1,Training_Young,never_sig
O95218,ZRANB2,Training_Young,never_sig
O95278,EPM2A,Training_Young,never_sig
O95292,VAPB,Training_Young,never_sig
O95298,NDUFC2,Training_Young,never_sig
O95299,NDUFA10,Training_Young,never_sig
O95336,PGLS,Training_Young,never_sig
O95359,TACC2,Training_Young,never_sig
O95372,LYPLA2,Training_Young,never_sig
O95373,IPO7,Training_Young,never_sig
O95376,ARIH2,Training_Young,never_sig
O95394,PGM3,Training_Young,never_sig
O95425,SVIL,Training_Young,never_sig
O95433,AHSA1,Training_Young,never_sig
O95479,H6PD,Training_Young,never_sig
O95563,MPC2,Training_Young,never_sig
O95571,ETHE1,Training_Young,never_sig
O95573,ACSL3,Training_Young,never_sig
O95671,ASMTL,Training_Young,never_sig
O95674,CDS2,Training_Young,never_sig
O95721,SNAP29,Training_Young,never_sig
O95747,OXSR1,Training_Young,never_sig
O95777,LSM8,Training_Young,imputation_dependent
O95782,AP2A1,Training_Young,imputation_dependent
O95810,CAVIN2,Training_Young,never_sig
O95816,BAG2,Training_Young,never_sig
O95817,BAG3,Training_Young,never_sig
O95822,MLYCD,Training_Young,never_sig
O95831,AIFM1,Training_Young,never_sig
O95834,EML2,Training_Young,never_sig
O95861,BPNT1,Training_Young,never_sig
O95865,DDAH2,Training_Young,imputation_masked
O95870,ABHD16A,Training_Young,never_sig
O95881,TXNDC12,Training_Young,never_sig
O95989,NUDT3,Training_Young,never_sig
O96000,NDUFB10,Training_Young,robust
O96005,CLPTM1,Training_Young,never_sig
O96007,MOCS2,Training_Young,never_sig
O96008,TOMM40,Training_Young,imputation_dependent
O96011,PEX11B,Training_Young,never_sig
P00167,CYB5A,Training_Young,never_sig
P00325,ADH1B,Training_Young,robust
P00338,LDHA,Training_Young,never_sig
P00352,ALDH1A1,Training_Young,never_sig
P00367,GLUD1,Training_Young,robust
P00387,CYB5R3,Training_Young,never_sig
P00390,GSR,Training_Young,never_sig
P00395,MT-CO1,Training_Young,never_sig
P00403,MT-CO2,Training_Young,imputation_dependent
P00414,MT-CO3,Training_Young,robust
P00441,SOD1,Training_Young,never_sig
P00450,CP,Training_Young,never_sig
P00488,F13A1,Training_Young,never_sig
P00492,HPRT1,Training_Young,robust
P00505,GOT2,Training_Young,never_sig
P00558,PGK1,Training_Young,never_sig
P00568,AK1,Training_Young,never_sig
P00738,HP,Training_Young,never_sig
P00751,CFB,Training_Young,never_sig
P00846,MT-ATP6,Training_Young,never_sig
P00918,CA2,Training_Young,never_sig
P00966,ASS1,Training_Young,never_sig
P01009,SERPINA1,Training_Young,never_sig
P01011,SERPINA3,Training_Young,never_sig
P01019,AGT,Training_Young,never_sig
P01023,A2M,Training_Young,never_sig
P01024,C3,Training_Young,never_sig
P01034,CST3,Training_Young,never_sig
P01040,CSTA,Training_Young,never_sig
P01591,JCHAIN,Training_Young,never_sig
P01619,IGKV3-20,Training_Young,never_sig
P01780,IGHV3-7,Training_Young,never_sig
P01834,IGKC,Training_Young,never_sig
P01857,IGHG1,Training_Young,never_sig
P01859,IGHG2,Training_Young,never_sig
P01860,IGHG3,Training_Young,never_sig
P01871,IGHM,Training_Young,never_sig
P01876,IGHA1,Training_Young,never_sig
P01889,HLA-B,Training_Young,never_sig
P01911,HLA-DRB1,Training_Young,never_sig
P02144,MB,Training_Young,never_sig
P02452,COL1A1,Training_Young,robust
P02461,COL3A1,Training_Young,robust
P02462,COL4A1,Training_Young,robust
P02511,CRYAB,Training_Young,never_sig
P02533,KRT14,Training_Young,never_sig
P02545,LMNA,Training_Young,imputation_dependent
P02585,TNNC2,Training_Young,never_sig
P02649,APOE,Training_Young,never_sig
P02655,APOC2,Training_Young,never_sig
P02750,LRG1,Training_Young,never_sig
P02751,FN1,Training_Young,never_sig
P02753,RBP4,Training_Young,never_sig
P02763,ORM1,Training_Young,never_sig
P02766,TTR,Training_Young,never_sig
P02768,ALB,Training_Young,never_sig
P02786,TFRC,Training_Young,never_sig
P02787,TF,Training_Young,never_sig
P02792,FTL,Training_Young,never_sig
P02794,FTH1,Training_Young,never_sig
P02795,MT2A,Training_Young,never_sig
P03886,MT-ND1,Training_Young,robust
P03891,MT-ND2,Training_Young,imputation_dependent
P03897,MT-ND3,Training_Young,imputation_dependent
P03905,MT-ND4,Training_Young,robust
P03915,MT-ND5,Training_Young,never_sig
P03928,MT-ATP8,Training_Young,never_sig
P04040,CAT,Training_Young,never_sig
P04075,ALDOA,Training_Young,never_sig
P04080,CSTB,Training_Young,never_sig
P04083,ANXA1,Training_Young,robust
P04179,SOD2,Training_Young,never_sig
P04264,KRT1,Training_Young,never_sig
P04275,VWF,Training_Young,never_sig
P04406,GAPDH,Training_Young,never_sig
P04439,HLA-A,Training_Young,never_sig
P04632,CAPNS1,Training_Young,never_sig
P04792,HSPB1,Training_Young,robust
P04843,RPN1,Training_Young,never_sig
P04844,RPN2,Training_Young,never_sig
P04899,GNAI2,Training_Young,never_sig
P05023,ATP1A1,Training_Young,imputation_dependent
P05026,ATP1B1,Training_Young,never_sig
P05090,APOD,Training_Young,never_sig
P05091,ALDH2,Training_Young,never_sig
P05109,S100A8,Training_Young,never_sig
P05141,SLC25A5,Training_Young,never_sig
P05155,SERPING1,Training_Young,never_sig
P05165,PCCA,Training_Young,never_sig
P05166,PCCB,Training_Young,never_sig
P05198,EIF2S1,Training_Young,never_sig
P05386,RPLP1,Training_Young,never_sig
P05387,RPLP2,Training_Young,never_sig
P05388,RPLP0,Training_Young,never_sig
P05413,FABP3,Training_Young,never_sig
P05452,CLEC3B,Training_Young,never_sig
P05455,SSB,Training_Young,never_sig
P05556,ITGB1,Training_Young,never_sig
P05783,KRT18,Training_Young,never_sig
P05787,KRT8,Training_Young,never_sig
P05976,MYL1,Training_Young,never_sig
P06396,GSN,Training_Young,robust
P06454,PTMA,Training_Young,never_sig
P06576,ATP5F1B,Training_Young,never_sig
P06702,S100A9,Training_Young,never_sig
P06703,S100A6,Training_Young,robust
P06730,EIF4E,Training_Young,never_sig
P06732,CKM,Training_Young,never_sig
P06733,ENO1,Training_Young,never_sig
P06737,PYGL,Training_Young,never_sig
P06744,GPI,Training_Young,never_sig
P06748,NPM1,Training_Young,never_sig
P06753,TPM3,Training_Young,never_sig
P07099,EPHX1,Training_Young,never_sig
P07108,DBI,Training_Young,never_sig
P07195,LDHB,Training_Young,never_sig
P07203,GPX1,Training_Young,imputation_dependent
P07237,P4HB,Training_Young,never_sig
P07305,H1-0,Training_Young,robust
P07339,CTSD,Training_Young,never_sig
P07355,ANXA2,Training_Young,never_sig
P07384,CAPN1,Training_Young,never_sig
P07437,TUBB,Training_Young,robust
P07451,CA3,Training_Young,never_sig
P07585,DCN,Training_Young,never_sig
P07602,PSAP,Training_Young,never_sig
P07737,PFN1,Training_Young,never_sig
P07738,BPGM,Training_Young,never_sig
P07741,APRT,Training_Young,never_sig
P07814,EPRS1,Training_Young,robust
P07858,CTSB,Training_Young,never_sig
P07900,HSP90AA1,Training_Young,never_sig
P07919,UQCRH,Training_Young,never_sig
P07951,TPM2,Training_Young,never_sig
P07954,FH,Training_Young,never_sig
P08123,COL1A2,Training_Young,robust
P08133,ANXA6,Training_Young,never_sig
P08237,PFKM,Training_Young,never_sig
P08238,HSP90AB1,Training_Young,never_sig
P08294,SOD3,Training_Young,imputation_dependent
P08311,CTSG,Training_Young,imputation_dependent
P08559,PDHA1,Training_Young,never_sig
P08572,COL4A2,Training_Young,robust
P08574,CYC1,Training_Young,never_sig
P08590,MYL3,Training_Young,robust
P08603,CFH,Training_Young,never_sig
P08621,SNRNP70,Training_Young,never_sig
P08651,NFIC,Training_Young,robust
P08670,VIM,Training_Young,never_sig
P08697,SERPINF2,Training_Young,never_sig
P08708,RPS17,Training_Young,never_sig
P08727,KRT19,Training_Young,never_sig
P08758,ANXA5,Training_Young,never_sig
P08865,RPSA,Training_Young,never_sig
P09012,SNRPA,Training_Young,never_sig
P09104,ENO2,Training_Young,never_sig
P09110,ACAA1,Training_Young,never_sig
P09211,GSTP1,Training_Young,never_sig
P09382,LGALS1,Training_Young,never_sig
P09417,QDPR,Training_Young,never_sig
P09429,HMGB1,Training_Young,robust
P09467,FBP1,Training_Young,never_sig
P09488,GSTM1,Training_Young,never_sig
P09493,TPM1,Training_Young,never_sig
P09497,CLTB,Training_Young,robust
P09525,ANXA4,Training_Young,never_sig
P09601,HMOX1,Training_Young,imputation_dependent
P09622,DLD,Training_Young,never_sig
P09651,HNRNPA1,Training_Young,never_sig
P09669,COX6C,Training_Young,imputation_dependent
P09874,PARP1,Training_Young,never_sig
P09913,IFIT2,Training_Young,never_sig
P09936,UCHL1,Training_Young,robust
P09960,LTA4H,Training_Young,never_sig
P09972,ALDOC,Training_Young,never_sig
P0CW19,LIMS3,Training_Young,never_sig
P0DMV8,HSPA1A,Training_Young,never_sig
P0DOY2,IGLC2,Training_Young,never_sig
P0DOY3,IGLC3,Training_Young,never_sig
P0DP23,CALM1,Training_Young,never_sig
P10109,FDX1,Training_Young,never_sig
P10176,COX8A,Training_Young,never_sig
P10253,GAA,Training_Young,never_sig
P10301,RRAS,Training_Young,never_sig
P10398,ARAF,Training_Young,never_sig
P10515,DLAT,Training_Young,never_sig
P10599,TXN,Training_Young,never_sig
P10606,COX5B,Training_Young,never_sig
P10636,MAPT,Training_Young,robust
P10644,PRKAR1A,Training_Young,never_sig
P10768,ESD,Training_Young,never_sig
P10809,HSPD1,Training_Young,never_sig
P10828,THRB,Training_Young,never_sig
P10909,CLU,Training_Young,never_sig
P10916,MYL2,Training_Young,robust
P11021,HSPA5,Training_Young,never_sig
P11047,LAMC1,Training_Young,robust
P11055,MYH3,Training_Young,never_sig
P11142,HSPA8,Training_Young,never_sig
P11171,EPB41,Training_Young,never_sig
P11177,PDHB,Training_Young,never_sig
P11182,DBT,Training_Young,never_sig
P11216,PYGB,Training_Young,never_sig
P11217,PYGM,Training_Young,never_sig
P11233,RALA,Training_Young,never_sig
P11277,SPTB,Training_Young,never_sig
P11279,LAMP1,Training_Young,never_sig
P11310,ACADM,Training_Young,never_sig
P11441,UBL4A,Training_Young,never_sig
P11532,DMD,Training_Young,never_sig
P11586,MTHFD1,Training_Young,never_sig
P11766,ADH5,Training_Young,never_sig
P11940,PABPC1,Training_Young,never_sig
P12081,HARS1,Training_Young,never_sig
P12109,COL6A1,Training_Young,imputation_dependent
P12110,COL6A2,Training_Young,never_sig
P12111,COL6A3,Training_Young,never_sig
P12235,SLC25A4,Training_Young,never_sig
P12236,SLC25A6,Training_Young,never_sig
P12268,IMPDH2,Training_Young,never_sig
P12277,CKB,Training_Young,never_sig
P12429,ANXA3,Training_Young,imputation_dependent
P12694,BCKDHA,Training_Young,never_sig
P12814,ACTN1,Training_Young,never_sig
P12882,MYH1,Training_Young,never_sig
P12883,MYH7,Training_Young,never_sig
P12955,PEPD,Training_Young,never_sig
P12956,XRCC6,Training_Young,never_sig
P13010,XRCC5,Training_Young,never_sig
P13073,COX4I1,Training_Young,never_sig
P13164,IFITM1,Training_Young,never_sig
P13473,LAMP2,Training_Young,never_sig
P13489,RNH1,Training_Young,never_sig
P13535,MYH8,Training_Young,never_sig
P13611,VCAN,Training_Young,never_sig
P13639,EEF2,Training_Young,never_sig
P13645,KRT10,Training_Young,never_sig
P13647,KRT5,Training_Young,never_sig
P13667,PDIA4,Training_Young,never_sig
P13693,TPT1,Training_Young,never_sig
P13716,ALAD,Training_Young,never_sig
P13796,LCP1,Training_Young,never_sig
P13797,PLS3,Training_Young,never_sig
P13798,APEH,Training_Young,never_sig
P13804,ETFA,Training_Young,never_sig
P13805,TNNT1,Training_Young,never_sig
P13807,GYS1,Training_Young,never_sig
P13861,PRKAR2A,Training_Young,never_sig
P13929,ENO3,Training_Young,never_sig
P13987,CD59,Training_Young,never_sig
P14174,MIF,Training_Young,never_sig
P14209,CD99,Training_Young,never_sig
P14314,PRKCSH,Training_Young,never_sig
P14324,FDPS,Training_Young,never_sig
P14406,COX7A2,Training_Young,never_sig
P14543,NID1,Training_Young,imputation_dependent
P14550,AKR1A1,Training_Young,never_sig
P14618,PKM,Training_Young,never_sig
P14621,ACYP2,Training_Young,never_sig
P14625,HSP90B1,Training_Young,imputation_dependent
P14649,MYL6B,Training_Young,never_sig
P14672,SLC2A4,Training_Young,never_sig
P14735,IDE,Training_Young,never_sig
P14854,COX6B1,Training_Young,imputation_dependent
P14866,HNRNPL,Training_Young,never_sig
P14868,DARS1,Training_Young,robust
P14923,JUP,Training_Young,never_sig
P14927,UQCRB,Training_Young,never_sig
P15088,CPA3,Training_Young,imputation_dependent
P15090,FABP4,Training_Young,never_sig
P15104,GLUL,Training_Young,never_sig
P15121,AKR1B1,Training_Young,never_sig
P15170,GSPT1,Training_Young,never_sig
P15259,PGAM2,Training_Young,never_sig
P15311,EZR,Training_Young,robust
P15374,UCHL3,Training_Young,never_sig
P15531,NME1,Training_Young,never_sig
P15880,RPS2,Training_Young,never_sig
P15927,RPA2,Training_Young,robust
P15954,COX7C,Training_Young,never_sig
P16083,NQO2,Training_Young,never_sig
P16118,PFKFB1,Training_Young,never_sig
P16152,CBR1,Training_Young,robust
P16157,ANK1,Training_Young,never_sig
P16219,ACADS,Training_Young,never_sig
P16298,PPP3CB,Training_Young,never_sig
P16615,ATP2A2,Training_Young,never_sig
P16671,CD36,Training_Young,never_sig
P16930,FAH,Training_Young,never_sig
P16989,YBX3,Training_Young,never_sig
P17152,TMEM11,Training_Young,robust
P17174,GOT1,Training_Young,never_sig
P17540,CKMT2,Training_Young,never_sig
P17568,NDUFB7,Training_Young,robust
P17612,PRKACA,Training_Young,never_sig
P17655,CAPN2,Training_Young,robust
P17661,DES,Training_Young,never_sig
P17858,PFKL,Training_Young,never_sig
P17931,LGALS3,Training_Young,robust
P17948,FLT1,Training_Young,robust
P17980,PSMC3,Training_Young,never_sig
P17987,TCP1,Training_Young,robust
P18077,RPL35A,Training_Young,never_sig
P18085,ARF4,Training_Young,never_sig
P18124,RPL7,Training_Young,never_sig
P18206,VCL,Training_Young,never_sig
P18621,RPL17,Training_Young,never_sig
P18669,PGAM1,Training_Young,never_sig
P18859,ATP5PF,Training_Young,never_sig
P19075,TSPAN8,Training_Young,never_sig
P19237,TNNI1,Training_Young,never_sig
P19338,NCL,Training_Young,never_sig
P19367,HK1,Training_Young,never_sig
P19404,NDUFV2,Training_Young,robust
P19623,SRM,Training_Young,never_sig
P19971,TYMP,Training_Young,never_sig
P20020,ATP2B1,Training_Young,never_sig
P20042,EIF2S2,Training_Young,never_sig
P20073,ANXA7,Training_Young,never_sig
P20231,TPSB2,Training_Young,never_sig
P20290,BTF3,Training_Young,never_sig
P20340,RAB6A,Training_Young,robust
P20472,PVALB,Training_Young,never_sig
P20618,PSMB1,Training_Young,never_sig
P20674,COX5A,Training_Young,imputation_dependent
P20807,CAPN3,Training_Young,never_sig
P20810,CAST,Training_Young,never_sig
P20929,NEB,Training_Young,never_sig
P20962,PTMS,Training_Young,never_sig
P21266,GSTM3,Training_Young,never_sig
P21281,ATP6V1B2,Training_Young,never_sig
P21291,CSRP1,Training_Young,never_sig
P21333,FLNA,Training_Young,robust
P21397,MAOA,Training_Young,robust
P21399,ACO1,Training_Young,never_sig
P21695,GPD1,Training_Young,never_sig
P21796,VDAC1,Training_Young,robust
P21810,BGN,Training_Young,never_sig
P21817,RYR1,Training_Young,never_sig
P21912,SDHB,Training_Young,never_sig
P21964,COMT,Training_Young,never_sig
P21980,TGM2,Training_Young,never_sig
P22033,MMUT,Training_Young,never_sig
P22059,OSBP,Training_Young,never_sig
P22061,PCMT1,Training_Young,never_sig
P22102,GART,Training_Young,robust
P22234,PAICS,Training_Young,never_sig
P22307,SCP2,Training_Young,never_sig
P22314,UBA1,Training_Young,never_sig
P22352,GPX3,Training_Young,never_sig
P22392,NME2,Training_Young,robust
P22570,FDXR,Training_Young,imputation_dependent
P22626,HNRNPA2B1,Training_Young,never_sig
P22695,UQCRC2,Training_Young,never_sig
P22830,FECH,Training_Young,never_sig
P23109,AMPD1,Training_Young,never_sig
P23142,FBLN1,Training_Young,never_sig
P23246,SFPQ,Training_Young,never_sig
P23284,PPIB,Training_Young,never_sig
P23297,S100A1,Training_Young,never_sig
P23327,HRC,Training_Young,robust
P23368,ME2,Training_Young,robust
P23381,WARS1,Training_Young,never_sig
P23396,RPS3,Training_Young,never_sig
P23434,GCSH,Training_Young,never_sig
P23526,AHCY,Training_Young,never_sig
P23528,CFL1,Training_Young,never_sig
P23588,EIF4B,Training_Young,never_sig
P23634,ATP2B4,Training_Young,never_sig
P23786,CPT2,Training_Young,never_sig
P24043,LAMA2,Training_Young,never_sig
P24298,GPT,Training_Young,never_sig
P24310,COX7A1,Training_Young,never_sig
P24311,COX7B,Training_Young,robust
P24534,EEF1B2,Training_Young,never_sig
P24539,ATP5PB,Training_Young,never_sig
P24666,ACP1,Training_Young,robust
P24752,ACAT1,Training_Young,never_sig
P24844,MYL9,Training_Young,never_sig
P25311,AZGP1,Training_Young,never_sig
P25325,MPST,Training_Young,never_sig
P25398,RPS12,Training_Young,never_sig
P25686,DNAJB2,Training_Young,never_sig
P25705,ATP5F1A,Training_Young,never_sig
P25786,PSMA1,Training_Young,never_sig
P25787,PSMA2,Training_Young,never_sig
P25788,PSMA3,Training_Young,never_sig
P25789,PSMA4,Training_Young,never_sig
P26038,MSN,Training_Young,robust
P26196,DDX6,Training_Young,never_sig
P26368,U2AF2,Training_Young,never_sig
P26373,RPL13,Training_Young,never_sig
P26440,IVD,Training_Young,never_sig
P26447,S100A4,Training_Young,robust
P26583,HMGB2,Training_Young,never_sig
P26639,TARS1,Training_Young,robust
P26640,VARS1,Training_Young,robust
P26641,EEF1G,Training_Young,robust
P26678,PLN,Training_Young,never_sig
P26885,FKBP2,Training_Young,never_sig
P27105,STOM,Training_Young,never_sig
P27338,MAOB,Training_Young,robust
P27348,YWHAQ,Training_Young,never_sig
P27361,MAPK3,Training_Young,never_sig
P27635,RPL10,Training_Young,never_sig
P27694,RPA1,Training_Young,never_sig
P27695,APEX1,Training_Young,never_sig
P27797,CALR,Training_Young,never_sig
P27816,MAP4,Training_Young,never_sig
P27824,CANX,Training_Young,never_sig
P28066,PSMA5,Training_Young,never_sig
P28070,PSMB4,Training_Young,never_sig
P28072,PSMB6,Training_Young,never_sig
P28074,PSMB5,Training_Young,never_sig
P28161,GSTM2,Training_Young,never_sig
P28289,TMOD1,Training_Young,never_sig
P28331,NDUFS1,Training_Young,robust
P28482,MAPK1,Training_Young,never_sig
P28749,RBL1,Training_Young,never_sig
P28838,LAP3,Training_Young,imputation_dependent
P28907,CD38,Training_Young,never_sig
P29144,TPP2,Training_Young,never_sig
P29218,IMPA1,Training_Young,never_sig
P29317,EPHA2,Training_Young,never_sig
P29401,TKT,Training_Young,never_sig
P29692,EEF1D,Training_Young,robust
P29966,MARCKS,Training_Young,robust
P29992,GNA11,Training_Young,never_sig
P30038,ALDH4A1,Training_Young,never_sig
